company_name,website,country,employee_count,industry,travel_category,page_title,b2c_score,b2c_reasoning,source_file,line_number
Redix Group,https://redix.ge,United States,59,Unknown,,მთავარი,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,193
HotelREZ Hotels & Resorts,https://hotelrez.net,United Kingdom,55,Unknown,,HotelREZ Hotels & Resorts,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,196
The Thinking Traveller Ltd.,https://thethinkingtraveller.com,United Kingdom,110,Unknown,,Homepage_Summer2025_Desktop_1920x1080 from The Thinking Traveller on Vimeo,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,197
VisitPITTSBURGH,https://visitpittsburgh.com,United States,64,Unknown,,"Visit Pittsburgh | Official Tourism Site for Pittsburgh, PA",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,289
Moondance Adventures,https://moondanceadventures.com,United States,67,Unknown,,"Moondance Adventures | Summer Camps, Trips & Travel for Teens",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,332
SLS Dubai Hotel & Residences,https://ennismore.com,United Kingdom,1800,Unknown,,Welcome to Ennismore,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,526
Nemacolin,https://nemacolin.com,United States,780,Unknown,,Nemacolin | Luxury Resort & Vacation Destination in Pennsylvania,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,615
DreamCatcher Hotels,https://dreamcatcherhotels.com,United States,13,Unknown,,DreamCatcher Hotels,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,618
Travelopia,https://travelopia.com,United Kingdom,2600,Unknown,,Home - Travelopia,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,704
Concord Hospitality Enterprises,https://concordhotels.com,United States,1400,Unknown,,Raleigh Hotel Management & Development | Concord Hospitality,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,717
Bluegreen Vacations,https://bluegreenvacations.com,United States,6000,Unknown,,"Vacation Ownership , Timeshare Resorts | Bluegreen Vacations",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,834
Monarch Casino Resort Spa - Black Hawk,https://monarchblackhawk.com,United States,430,Unknown,,"Black Hawk, CO Resort | Monarch Casino Resort Spa",Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,873
Public Investment Fund (PIF),https://pif.gov.sa,United States,1500,Unknown,,PIF | Home | Public Investment Fund,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,879
Travel Agency,https://therealtravelagency.com,United States,1300,Unknown,,Travel Agency,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,925
Travel + Leisure Co.,https://travelandleisureco.com,United States,19000,Unknown,,Travel + Leisure Co. (TNL),Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,949
Athena Hospitality Group,https://athenahospitalitygroup.com,United States,36,Unknown,,Elevated Hotel Management & Development | Athena Hospitality Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,978
avocet hospitality group,https://avocethospitality.com,United States,64,Unknown,,A Story of Hospitality - Hotel Management | Avocet Hospitality Group,Unknown,No reasoning provided,results_batch_propellic-comprehensive-run.jsonl,982
